,name,price,discount,rating,bank,total_review
456,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹35,990",37% off,4.4,Upto,"7,146 Ratings & 709 Reviews"
457,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹47,690",39% off,4.4,Upto,"12,735 Ratings & 1,018 Reviews"
458,Acer Predator Intel Core i9 13th Gen 13900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,"₹1,55,999",37% off,4.4,Bank Offer,91 Ratings & 10 Reviews
459,Acer Predator Helios 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics...,"₹1,59,990",19% off,4.4,Top Discount of the Sale,10 Ratings & 3 Reviews
460,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin an...,"₹51,990",37% off,4.2,Bank Offer,"1,861 Ratings & 141 Reviews"
461,DELL 14 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) OIN5440340401RINU10 / OIC744...,"₹62,990",17% off,4.2,Upto,38 Ratings & 5 Reviews
462,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹29,240",35% off,4.3,Top Discount of the Sale,879 Ratings & 60 Reviews
463,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹40,990",27% off,4.3,Top Discount of the Sale,"1,142 Ratings & 80 Reviews"
464,MSI Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1400IN Business L...,"₹38,990",30% off,4.4,Top Discount of the Sale,336 Ratings & 33 Reviews
465,HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0569TU Thin and Light Laptop,"₹34,640",31% off,4.5,Lowest price since launch,12 Ratings & 0 Reviews
466,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5542WS ...,"₹37,579",32% off,4.2,Top Discount of the Sale,623 Ratings & 32 Reviews
467,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",34% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
468,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and L...,"₹29,990",25% off,4.3,Bank Offer,861 Ratings & 59 Reviews
469,Lenovo IdeaPad 5 2-in-1 WUXGA OLED Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) ...,"₹82,990",24% off,4,Upto,10 Ratings & 0 Reviews
470,ASUS ROG Strix G16 (2025) with Office 2024 + M365 Basic* Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Wi...,"₹2,37,990",38% off,4.8,Top Discount of the Sale,12 Ratings & 0 Reviews
471,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹49,999",41% off,4.2,Bank Offer,"1,861 Ratings & 141 Reviews"
472,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...","₹32,990",36% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
473,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹47,990",34% off,4.3,Top Discount of the Sale,344 Ratings & 33 Reviews
474,HP Omen Intel Core i7 13th Gen 13700HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,"₹99,990",20% off,4.3,Bank Offer,160 Ratings & 14 Reviews
475,Acer Aspire 3 Spin 14 Intel Core i3 13th Gen N305 - (8 GB/512 GB SSD/Windows 11 Home) A3SP14-31PT-3554...,"₹44,990",19% off,4.2,Upto,114 Ratings & 10 Reviews
476,"DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530,Vostro 3530 RPL Thin...","₹32,990",29% off,4.1,Top Discount of the Sale,355 Ratings & 13 Reviews
477,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",35% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
478,Acer Predator Helios 16 Intel Core i9 14th Gen 14900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics...,"₹1,68,990",15% off,4.5,Upto,28 Ratings & 0 Reviews
479,HP Professional Intel Core i5 13th Gen 1334U Turbo Boost Finger Print - (32 GB/512 GB SSD/Windows 11 P...,"₹55,708",34% off,3.9,Bank Offer,34 Ratings & 4 Reviews
480,DELL 14 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7440 2-in-1 / Inspi...,"₹77,900",13% off,4.4,Bank Offer,30 Ratings & 2 Reviews
481,Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,"₹31,990",54% off,,Bank Offer,
482,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹35,990",37% off,4.4,Upto,"7,146 Ratings & 709 Reviews"
483,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹47,690",39% off,4.4,Upto,"12,735 Ratings & 1,018 Reviews"
484,Lenovo IdeaPad Flex 5 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 14IRU8 2 in 1 ...,"₹75,190",38% off,4.3,Upto,64 Ratings & 3 Reviews
485,"ASUS Gaming V16 (2025) for Creator with Office 2024 + M365 Basic*, AI PC(i7 14th gen) Intel Core 7 240...","₹1,05,990",23% off,5,Bank Offer,4 Ratings & 0 Reviews
486,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹29,240",35% off,4.3,Top Discount of the Sale,879 Ratings & 60 Reviews
487,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹40,990",27% off,4.3,Top Discount of the Sale,"1,142 Ratings & 80 Reviews"
488,MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹64,990",27% off,4.4,Top Discount of the Sale,34 Ratings & 5 Reviews
